NET-00001 | 0.0023 | -0.1404 | 0.0021 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00052 | 0.5583 | -1.1866 | 1.8513 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00053 | 0.9843 | -2.8406 | 8.2839 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00054 | 0.4271 | -0.3979 | 1.5910 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00055 | -0.6896 | -0.3238 | 0.8620 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00056 | 0.9472 | -1.1955 | 3.1269 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00057 | -1.0529 | 1.2220 | 3.2497 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00058 | -0.6465 | 0.7171 | 1.3488 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00059 | -1.9408 | 1.4366 | 5.5289 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00060 | -0.7354 | 0.5105 | 0.7418 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00061 | 0.0091 | -0.6501 | 0.0224 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00062 | -0.8142 | 0.5256 | 0.9062 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00063 | 0.7829 | -0.1040 | 0.2488 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00064 | -0.3501 | 0.3032 | 0.2861 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00065 | 0.0031 | -0.2533 | 0.0090 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00066 | -0.7760 | -0.1857 | 0.4288 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00067 | -0.2029 | 0.9676 | 2.0023 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00068 | 0.7924 | -1.6944 | 3.7144 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00069 | -0.3862 | 1.1783 | 3.0132 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00070 | 1.3695 | -2.2201 | 7.4004 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00071 | 0.7144 | -0.1754 | 0.3668 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00072 | -1.2052 | 0.6685 | 1.6075 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00073 | -0.9451 | 1.1192 | 3.6740 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00074 | 0.8186 | 0.3375 | 0.8791 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00075 | 0.0929 | 0.1735 | 0.5213 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00076 | 0.2592 | -0.1202 | 0.3653 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00077 | 0.8498 | -1.4856 | 3.3328 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00078 | -1.6215 | 0.7592 | 2.5316 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00079 | -2.2609 | 0.0395 | 0.1687 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00080 | -2.6144 | 0.6863 | 3.0491 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00081 | 1.2915 | -2.4187 | 8.4599 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00082 | 0.5946 | -1.6304 | 3.6128 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00083 | -0.6580 | 0.2399 | 0.3255 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00084 | -3.5127 | 0.1286 | 0.7463 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00085 | -1.0366 | 0.3883 | 0.6926 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00086 | -0.8309 | 0.1051 | 0.1598 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00087 | 1.0178 | -1.6050 | 4.3864 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00088 | 0.3595 | -0.0413 | 0.0477 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00089 | 1.1125 | -0.2242 | 0.6840 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00090 | 0.0030 | -0.1396 | 0.0014 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00091 | -2.8472 | 0.2943 | 1.3620 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00092 | -0.3003 | 0.0924 | 0.3469 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00093 | 1.1834 | -1.3896 | 3.7692 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00094 | 0.2125 | -0.1104 | 0.0519 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00095 | 1.2474 | -1.1234 | 2.9212 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00096 | -1.1400 | -0.2715 | 0.6343 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00097 | -0.1676 | -0.0925 | 0.0596 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00098 | -0.8584 | -0.0078 | 0.0113 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00099 | -3.4434 | 0.4455 | 2.4742 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00100 | -1.6032 | 0.4878 | 1.5891 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00101 | -4.0818 | -0.0607 | 0.3881 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00102 | 0.5175 | -0.3389 | 0.3634 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00103 | -0.0004 | 0.0428 | 0.0012 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00104 | -0.7136 | -0.1428 | 0.2184 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00105 | 1.3498 | -0.0667 | 0.2228 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00106 | -0.6032 | 0.1974 | 0.3890 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00107 | -1.8437 | -0.2295 | 0.7562 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00108 | 0.4058 | -0.0219 | 0.0789 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00109 | -0.5710 | 0.4302 | 0.9160 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00110 | -4.0489 | 0.0743 | 0.4786 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00111 | -0.0024 | 0.0862 | 0.0027 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00112 | -0.6756 | 0.3389 | 0.9147 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00113 | 2.0986 | -1.4685 | 6.1629 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00114 | 0.8565 | 0.3558 | 1.0194 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00115 | 0.3757 | -0.0191 | 0.0228 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00116 | 1.9805 | -1.4336 | 5.7114 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00117 | 1.4056 | -0.5158 | 1.3527 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00118 | -2.1286 | -0.0146 | 0.0493 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00119 | 2.3157 | -1.4896 | 6.8106 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00120 | -1.2277 | -0.2534 | 0.7246 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00121 | 0.9930 | 0.1119 | 0.3090 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00122 | 1.8274 | -0.5879 | 1.9895 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00123 | -2.7141 | -0.0411 | 0.1914 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00124 | -1.7957 | 0.2778 | 0.9417 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00125 | -3.2839 | 0.1128 | 0.6077 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00126 | -1.0321 | -0.1450 | 0.2514 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00127 | 1.3295 | 0.0085 | 0.0231 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00128 | 2.2268 | -1.1569 | 4.8078 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00129 | -4.1413 | 0.0722 | 0.4636 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00130 | 0.1690 | -0.1063 | 0.0502 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00131 | 0.1276 | -0.3950 | 0.6446 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00132 | -0.0028 | 0.1337 | 0.0057 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00133 | -2.3319 | -0.0017 | 0.0065 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00134 | -1.0031 | 0.3077 | 0.4982 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00135 | 1.8421 | -0.2411 | 0.9242 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00136 | -2.4664 | -0.1906 | 0.7815 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00137 | 0.7843 | -0.5536 | 1.4143 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00138 | 0.6304 | 0.2606 | 0.5040 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00139 | 0.0027 | -0.3470 | 0.0090 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00140 | 1.7548 | 0.1648 | 0.6919 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00141 | 1.7468 | 0.1084 | 0.4392 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00142 | -1.5267 | -0.0205 | 0.0507 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00143 | -0.7997 | -0.1443 | 0.2412 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00144 | -0.4108 | 0.2837 | 0.4654 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00145 | -1.0894 | 0.0877 | 0.1702 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00146 | -3.7704 | 0.1401 | 0.8161 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00147 | 0.6172 | -0.2806 | 0.2998 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00148 | 0.2685 | -0.3088 | 0.2674 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00149 | -2.5102 | 0.1092 | 0.4615 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00150 | -2.4931 | -0.1507 | 0.5973 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00151 | 2.3413 | -0.8118 | 3.2786 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00152 | -0.2582 | 0.2605 | 0.5793 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00153 | -2.8005 | 0.1267 | 0.5446 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00154 | -1.2710 | -0.2096 | 0.5502 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00155 | 3.3360 | -1.0644 | 6.1280 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00156 | -0.5204 | 0.2964 | 0.6510 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00157 | 1.6750 | -0.4674 | 1.5270 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00158 | 1.7836 | -0.3143 | 0.9188 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00159 | -1.3336 | 0.0871 | 0.2075 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00160 | 0.7480 | 0.2732 | 0.6079 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00161 | -1.3179 | -0.1531 | 0.3142 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00162 | 0.4757 | -0.1631 | 0.2032 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00163 | 1.0755 | -0.2177 | 0.4005 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00164 | -1.0337 | -0.0654 | 0.1642 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00165 | -2.2578 | 0.2635 | 1.0107 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
